edge_id,pathway,node_x,node_y,k,n_studies,total_n,designs,has_rct,avg_beta,i_squared,pooled_beta,pooled_se,gap_tier,cancers,phases
ER_SLEEP_DEPRESSION_FWD,PW_C1_SLEEP,NODE_BEH_SLEEP_QUALITY,NODE_SYM_DEPRESSION,0,0,,,False,,0.0,,,MISSING,,
ER_SLEEP_EPISODIC,PW_C1_SLEEP,NODE_SYM_SLEEP_DISRUPTION,NODE_COG_EPISODIC_MEM,0,0,,,False,,0.0,,,MISSING,,
ER_SLEEP_FATIGUE,PW_C1_SLEEP,NODE_SYM_SLEEP_DISRUPTION,NODE_SYM_FATIGUE,0,0,,,False,,0.0,,,MISSING,,
ER_SLEEP_GLYMPHATIC,PW_M10_GLYMPHATIC,NODE_BEH_SLEEP_QUALITY,NODE_PATH_GLYMPHATIC,0,0,,,False,,0.0,,,MISSING,,
ER_SLEEP_WORKMEM,PW_C1_SLEEP,NODE_SYM_SLEEP_DISRUPTION,NODE_COG_WORK_MEM,0,0,,,False,,0.0,,,MISSING,,
ER_SOCIAL_DEPRESSION,PW_C5_SOCIAL,NODE_BEH_SOCIAL_ENGAGE,NODE_SYM_DEPRESSION,0,0,,,False,,0.0,,,MISSING,,
ER_SOCIAL_EXEC,PW_C5_SOCIAL,NODE_BEH_SOCIAL_ENGAGE,NODE_COG_EXEC_PLANNING,0,0,,,False,,0.0,,,MISSING,,
ER_SOCIAL_VERBAL,PW_C5_SOCIAL,NODE_BEH_SOCIAL_ENGAGE,NODE_COG_VERBAL_FLUENCY,0,0,,,False,,0.0,,,MISSING,,
ER_STNFR2_OIC,PW_M01_NEUROINFLAMMATION,NODE_BIO_STNFR2,NODE_PATH_OIC,0,0,,,False,,0.0,,,MISSING,,
ER_STRESS_CORTISOL,PW_M03_HPA_DYSREGULATION,NODE_BEH_STRESS_MGMT,NODE_BIO_CORTISOL,0,0,,,False,,0.0,,,MISSING,,
ER_STRESS_IL6,PW_M01_NEUROINFLAMMATION,NODE_BEH_STRESS_MGMT,NODE_BIO_IL6,0,0,,,False,,0.0,,,MISSING,,
ER_SYNAPTIC_EXEC,PW_M15_SYNAPTIC,NODE_PATH_SYNAPTIC,NODE_COG_EXEC_PLANNING,0,0,,,False,,0.0,,,MISSING,,
ER_SYNAPTIC_PROCSPEED,PW_M15_SYNAPTIC,NODE_PATH_SYNAPTIC,NODE_COG_PROC_SPEED,0,0,,,False,,0.0,,,MISSING,,
ER_SYNAPTIC_WORKMEM,PW_M15_SYNAPTIC,NODE_PATH_SYNAPTIC,NODE_COG_WORK_MEM,0,0,,,False,,0.0,,,MISSING,,
ER_TNF_BDNF_CROSS,PW_M01_NEUROINFLAMMATION,NODE_BIO_TNF,NODE_BIO_BDNF,1,1,66,cohort,False,0.771,0.0,0.771,0.797709,SINGLE,mixed_solid,during_treatment
ER_TNF_OIC,PW_M01_NEUROINFLAMMATION,NODE_BIO_TNF,NODE_PATH_OIC,0,0,,,False,,0.0,,,MISSING,,
ER_TX_PHASE_ACTIVITY,PW_C2_FATIGUE,NODE_EXO_TX_PHASE,NODE_BEH_PHYSICAL_ACTIVITY,0,0,,,False,,0.0,,,MISSING,,
ER_VERBAL_CRCI,N/A_COMPOSITE_AGGREGATION,NODE_COG_VERBAL_FLUENCY,NODE_COMP_CRCI,0,0,,,False,,0.0,,,MISSING,,
ER_VISUOSP_CRCI,N/A_COMPOSITE_AGGREGATION,NODE_COG_VISUOSPATIAL,NODE_COMP_CRCI,0,0,,,False,,0.0,,,MISSING,,
ER_WORKMEM_CRCI,N/A_COMPOSITE_AGGREGATION,NODE_COG_WORK_MEM,NODE_COMP_CRCI,0,0,,,False,,0.0,,,MISSING,,
